,aeropuer-aemet
1358,16.308817
1359,27.35968
1360,26.386944
1361,-36.260723
1362,-35.262707
1363,-19.04784
1364,4.807602
1365,34.077873
1366,-8.193808
1367,53.781
1368,-7.208288
1369,87.97487
1370,218.59563
1371,393.28156
1372,561.68475
1373,725.46857
1374,794.72723
1375,709.05176
1376,511.09927
1377,471.28464
1378,320.2916
1379,153.63744
1380,48.051655
1381,-29.967289
1382,-36.89503
1383,-3.2329698
1384,-26.940447
1385,-20.495483
1386,109.169525
1387,125.72499
1388,142.41934
1389,115.38733
1390,28.585146
1391,40.87757
1392,68.88058
1393,109.70218
1394,236.24222
1395,444.2
1396,585.46564
1397,634.31573
1398,666.0277
1399,727.9377
1400,460.07388
1401,422.33185
1402,281.35507
1403,17.261194
1404,33.200493
1405,41.919773
1406,50.754826
1407,3.8814516
1408,32.056995
1409,35.057404
1410,39.48818
1411,42.264442
1412,69.21657
1413,86.73471
1414,76.38113
1415,81.388535
1416,56.871243
1417,197.31003
1418,426.16116
1419,529.69354
1420,504.64554
1421,715.8118
1422,754.4437
1423,618.1903
1424,512.8467
1425,501.9324
1426,293.76468
1427,154.31305
1428,148.7831
1429,14.59547
1430,-62.672997
1431,-21.855808
1432,19.960896
1433,-22.390217
1434,-101.02483
1435,-19.249619
1436,19.32432
1437,17.046894
1438,671.8987
1439,389.28247
1440,381.07474
1441,123.90678
1442,-59.506916
1443,-97.534546
1444,-38.24627
1445,70.815445
1446,59.846058
1447,-25.03767
1448,-19.43529
1449,-38.71653
1450,-3.979797
1451,12.774751
1452,-19.075766
1453,-25.155891
1454,10.783131
1455,127.692535
1456,229.80768
1457,446.32385
1458,670.07056
1459,762.51715
1460,745.18286
1461,706.81464
1462,513.8969
1463,373.8578
1464,286.2511
1465,88.85981
1466,9.477956
1467,6.0951653
1468,1.5542217
1469,40.844463
1470,30.850811
1471,-1.6246868
1472,-4.3066177
1473,14.651751
1474,17.819433
1475,9.240158
1476,23.021944
1477,-24.017189
1478,158.39084
1479,292.33243
1480,430.61877
1481,641.37036
1482,667.73975
1483,737.9793
1484,816.36145
1485,367.43576
1486,393.9119
1487,314.0326
1488,119.96036
1489,40.69795
1490,14.784858
1491,-32.393814
1492,-21.589993
1493,28.450924
1494,29.636023
1495,4.482523
1496,29.422808
1497,83.875145
1498,119.63626
1499,121.37119
1500,174.17424
1501,133.71295
1502,571.2894
1503,640.5714
1504,807.1397
1505,753.4031
1506,874.99164
1507,837.75903
1508,595.87915
1509,560.89984
1510,334.2246
1511,159.13663
1512,99.02519
1513,55.115788
1514,63.331696
1515,45.05024
1516,76.447044
1517,26.382696
1518,80.538605
1519,57.338867
1520,6.528568
1521,40.794933
1522,-78.687
1523,37.790348
1524,157.66972
1525,388.9984
1526,612.6192
1527,653.7803
1528,773.57465
1529,751.08325
1530,610.4756
1531,545.6824
1532,513.4186
1533,436.2751
1534,134.72588
1535,108.93214
1536,47.37461
1537,99.01471
1538,111.37706
1539,84.46138
1540,41.237103
1541,17.754051
1542,30.470366
1543,86.72311
1544,57.315258
1545,69.55354
1546,34.697014
1547,71.02943
1548,142.82556
1549,403.9284
1550,586.94525
1551,649.6988
1552,775.64746
1553,755.6173
1554,725.2514
1555,525.3723
1556,517.48126
1557,382.5029
1558,155.45116
1559,106.49783
1560,107.18239
1561,72.39964
1562,79.71954
1563,63.54181
1564,42.566204
1565,38.99833
1566,56.717155
1567,11.917777
1568,26.815275
1569,15.894618
1570,4.6443305
1571,-6.2733617
1572,99.84587
1573,346.86188
1574,491.8962
1575,713.893
1576,745.06384
1577,738.7438
1578,742.1021
1579,597.4617
1580,416.64456
1581,301.856
1582,120.58887
1583,77.836006
1584,58.442265
1585,44.5764
1586,53.300655
1587,47.909878
1588,17.702284
1589,37.198456
1590,46.562084
1591,47.90209
1592,61.39813
1593,77.73438
1594,35.148518
1595,147.58672
1596,472.2045
1597,515.60223
1598,626.9557
1599,794.6398
1600,800.3882
1601,733.00903
1602,630.72266
1603,467.14325
1604,303.30847
1605,111.81758
1606,63.87192
1607,134.97403
1608,60.80348
1609,50.319855
1610,60.949036
1611,15.970333
1612,102.86948
1613,133.74547
1614,107.83759
1615,125.137825
1616,88.50982
1617,91.905464
1618,37.713295
1619,17.783577
1620,315.9514
1621,527.0942
1622,759.61835
1623,838.6544
1624,836.88904
1625,717.7574
1626,669.99146
1627,533.10126
1628,428.15378
1629,117.03335
1630,135.73872
1631,169.08165
1632,79.527466
1633,72.53204
1634,116.808136
1635,1.2354904
1636,-0.21773706
1637,22.756931
1638,33.20328
1639,46.70256
1640,41.222736
1641,44.007095
1642,30.17472
1643,82.47289
1644,329.2568
1645,494.76395
1646,686.4212
1647,766.5872
1648,741.2981
1649,613.9893
1650,561.4609
1651,421.64532
1652,306.1788
1653,139.97835
1654,88.78244
1655,87.61691
1656,49.92
1657,19.112572
1658,22.19772
1659,27.620546
1660,65.93835
1661,49.195747
1662,50.21506
1663,69.42995
1664,60.97841
1665,41.84258
1666,47.394928
1667,141.99106
1668,369.95117
1669,470.13522
1670,648.8695
1671,769.0383
1672,752.74524
1673,689.12146
1674,581.40674
1675,415.35007
1676,309.20773
1677,129.9637
1678,54.11935
1679,35.812675
1680,12.739252
1681,34.63176
1682,17.467327
1683,65.44652
1684,65.21807
1685,35.2721
1686,32.62686
1687,37.336315
1688,36.226555
1689,37.094704
1690,57.386486
1691,33.170315
1692,346.97473
1693,477.58606
1694,736.5764
1695,705.10315
1696,803.2649
1697,692.8921
1698,570.79443
1699,423.35583
1700,325.2268
1701,104.77051
1702,51.00629
1703,36.236458
1704,31.075693
1705,28.24742
1706,-4.494381
1707,29.689566
1708,87.57108
1709,95.4679
1710,94.661896
1711,74.21106
1712,91.908295
1713,66.15516
1714,49.7319
1715,188.25806
1716,378.00458
1717,495.01605
1718,666.2511
1719,765.4197
1720,805.5484
1721,716.18427
1722,574.5558
1723,456.2933
1724,353.09784
1725,135.12094
1726,92.403275
1727,99.92591
1728,47.531155
1729,14.046557
1730,36.196312
1731,-14.533424
1732,-36.660385
1733,-11.425505
1734,1.762473
1735,2.0437908
1736,-16.378105
1737,1.0597559
1738,-3.9562893
1739,127.84751
1740,329.3984
1741,520.162
1742,642.82526
1743,738.587
1744,742.29706
1745,675.7061
1746,541.71155
1747,429.21884
1748,263.8209
1749,125.94083
1750,61.127583
1751,61.91878
1752,48.58977
1753,28.450575
1754,38.54769
1755,15.967288
1756,158.124
1757,152.70923
1758,100.668655
1759,185.78929
1760,66.121376
1761,71.80666
1762,60.79381
1763,325.59323
1764,456.77536
1765,534.47925
1766,618.0071
1767,735.33093
1768,737.14746
1769,715.77185
1770,540.0169
1771,424.29944
1772,302.7355
1773,92.75314
1774,47.738068
1775,35.243164
1776,3.1570306
1777,35.63678
1778,-0.030063733
1779,-18.598509
1780,2.5999427
1781,23.674788
1782,-51.83358
1783,0.8990499
1784,-11.444257
1785,-10.416329
1786,-10.248345
1787,82.30283
1788,349.4055
1789,464.8252
1790,702.5422
1791,727.4596
1792,766.11383
1793,752.0501
1794,611.6463
1795,442.4485
1796,308.15906
1797,118.129005
1798,101.94292
1799,55.3743
1800,51.152817
1801,28.903246
