,miraflores
1526,293.2038
1527,265.02142
1528,371.56326
1529,327.7105
1530,337.52313
1531,255.62277
1532,999.48083
1533,694.7816
1534,673.344
1535,447.88635
1536,571.07904
1537,603.46277
1538,507.17535
1539,399.86118
1540,516.4573
1541,502.27658
1542,522.4591
1543,444.87708
1544,219.83409
1545,200.645
1546,202.37967
1547,125.360146
1548,232.14929
1549,397.97882
1550,361.79892
1551,382.4868
1552,384.93158
1553,406.475
1554,450.64108
1555,917.43506
1556,728.6824
1557,471.39642
1558,189.8716
1559,-49.03129
1560,86.29798
1561,-31.690592
1562,64.26293
1563,55.868362
1564,83.98027
1565,243.56226
1566,397.8502
1567,148.16226
1568,105.89226
1569,225.31981
1570,216.3072
1571,262.55478
1572,366.80423
1573,387.6876
1574,448.62833
1575,387.57602
1576,379.09775
1577,320.31546
1578,345.06345
1579,926.16583
1580,547.6006
1581,64.14896
1582,19.787758
1583,84.44409
1584,78.72501
1585,241.9653
1586,188.31866
1587,67.75209
1588,27.614233
1589,8.369195
1590,159.75333
1591,127.58707
1592,73.156334
1593,80.643326
1594,224.52174
1595,216.96196
1596,392.30524
1597,356.2861
1598,393.29263
1599,319.02774
1600,387.90808
1601,297.65213
1602,311.69717
1603,708.4778
1604,547.5123
1605,280.7843
1606,39.37089
1607,-39.23968
1608,-25.473139
1609,-42.430183
1610,-39.943665
1611,-59.325966
1612,-31.703905
1613,161.0206
1614,272.01074
1615,80.47476
1616,77.28649
1617,247.48495
1618,226.28761
1619,129.43776
1620,359.60327
1621,427.6095
1622,445.39127
1623,420.71167
1624,423.7508
1625,363.12894
1626,359.73007
1627,884.3705
1628,553.2564
1629,21.89959
1630,-39.773132
1631,-69.98212
1632,-86.243744
1633,-47.3267
1634,-24.42109
1635,-45.953056
1636,-4.6787724
1637,-10.02034
1638,7.3587484
1639,91.51632
1640,84.80211
1641,42.62771
1642,248.61795
1643,313.42752
1644,367.74094
1645,418.11472
1646,357.0334
1647,411.12833
1648,371.53043
1649,314.944
1650,245.84613
1651,507.15683
1652,300.81052
1653,-3.3049712
1654,-78.953804
1655,11.59734
1656,69.51037
1657,61.930367
1658,99.98937
1659,93.658485
1660,-23.727785
1661,-38.4499
1662,-16.987473
1663,113.07726
1664,136.73227
1665,127.55731
1666,182.59111
1667,182.52206
1668,285.70154
1669,333.794
1670,249.56409
1671,285.10526
1672,235.6765
1673,201.87845
1674,219.65659
1675,518.30237
1676,5.231015
1677,68.42725
1678,78.337234
1679,93.097534
1680,65.44275
1681,-7.573914
1682,-12.498013
1683,-12.498013
1684,-35.269978
1685,-19.9199
1686,-34.719288
1687,3.7418206
1688,146.54301
1689,131.74463
1690,149.47481
1691,112.337036
1692,284.5907
1693,276.06052
1694,268.09543
1695,249.90245
1696,289.2853
1697,206.55348
1698,217.96068
1699,732.3216
1700,397.2769
1701,22.828749
1702,35.788155
1703,-47.842426
1704,-20.977818
1705,-157.5295
1706,-76.72688
1707,-20.136303
1708,-21.33171
1709,-36.206223
1710,55.569244
1711,-37.805065
1712,52.108097
1713,47.86876
1714,84.53473
1715,88.912506
1716,146.22354
1717,166.06134
1718,164.58395
1719,144.0181
1720,126.57229
1721,85.7808
1722,68.62096
1723,599.1003
1724,545.07385
1725,83.23906
1726,46.829052
1727,-67.23197
1728,-65.40773
1729,6.0505543
1730,-12.448082
1731,20.123852
1732,-7.6486335
1733,-24.913164
1734,-52.06215
1735,73.39127
1736,75.17926
1737,68.21064
1738,68.69603
1739,94.64147
1740,154.65952
1741,206.26909
1742,226.89507
1743,231.85544
1744,163.46246
1745,159.65509
1746,232.55669
1747,833.94165
1748,525.4466
1749,71.67169
1750,4.1278715
1751,-37.847157
1752,-59.5363
1753,-16.219742
1754,-73.43929
1755,-53.886383
1756,-36.672462
1757,-14.634474
1758,27.190321
1759,67.14154
1760,147.39215
1761,160.72667
1762,256.82816
1763,206.79684
1764,364.98697
1765,352.83307
1766,241.80809
1767,319.5225
1768,309.85602
1769,216.35945
1770,233.56549
1771,659.45264
1772,340.67212
1773,-45.070015
1774,-60.814907
1775,-106.53207
1776,-66.910446
1777,-45.403046
1778,-103.99757
1779,-96.10314
1780,-50.939514
1781,-21.3723
1782,12.860653
1783,149.17923
1784,154.44551
1785,157.76924
1786,123.32251
1787,107.20331
1788,203.8817
1789,205.15288
1790,249.56409
1791,210.84006
1792,242.04149
1793,184.00879
1794,210.04536
1795,524.4371
1796,-73.79673
1797,-84.051445
1798,-75.979515
1799,87.990364
1800,-63.882824
1801,-18.468117
1802,-47.536522
1803,-45.515068
1804,-44.311394
1805,-15.286005
1806,-19.161715
1807,39.391907
1808,114.45485
1809,76.99699
1810,50.08435
1811,76.12776
1812,177.16188
1813,200.01567
1814,258.46072
1815,211.04298
1816,244.96303
1817,127.60204
1818,152.48685
1819,730.1682
1820,620.15875
1821,278.48346
1822,41.138317
1823,-76.85041
1824,-34.761013
1825,-48.43509
1826,5.3558254
1827,-26.696884
1828,-38.42482
1829,-30.721395
1830,-10.075853
1831,102.981995
1832,95.35447
1833,142.79076
1834,59.91243
