,mont-samagallo
1147,425.24646
1148,387.61008
1149,392.40497
1150,409.34607
1151,281.07513
1152,175.46559
1153,114.96363
1154,25.434803
1155,-1.5513963
1156,-2.2325125
1157,-13.965317
1158,3.3950353
1159,-13.367284
1160,0.2838726
1161,6.748906
1162,2.451046
1163,-4.8686833
1164,0.08471032
1165,2.9538016
1166,5.4312344
1167,-3.556906
1168,-24.538795
1169,219.42471
1170,453.56363
1171,469.04395
1172,529.3003
1173,515.7538
1174,489.51068
1175,389.21124
1176,187.23529
1177,179.95012
1178,4.1088095
1179,6.6437073
1180,5.796062
1181,-11.109955
1182,-6.7525043
1183,1.6881877
1184,-7.705038
1185,-13.205946
1186,-5.7190332
1187,-11.717448
1188,-31.383516
1189,19.47215
1190,-3.7369957
1191,-11.316113
1192,-2.6651843
1193,186.98083
1194,449.5457
1195,549.78955
1196,575.6409
1197,596.75507
1198,519.4906
1199,347.6612
1200,244.54909
1201,170.05765
1202,66.09371
1203,6.6872563
1204,1.7886127
1205,2.7553184
1206,-9.892842
1207,-6.60005
1208,5.209995
1209,-5.6260543
1210,1.8908958
1211,1.130132
1212,7.929491
1213,-7.7545195
1214,-13.662137
1215,5.2736864
1216,36.99664
1217,241.01453
1218,473.9163
1219,508.24
1220,607.0631
1221,529.57227
1222,438.8026
1223,386.15747
1224,276.67682
1225,192.72408
1226,71.34663
1227,-15.328016
1228,-4.771673
1229,-9.538109
1230,-3.1245413
1231,-2.7234435
1232,-0.927165
1233,0.23420471
1234,1.4416075
1235,3.3750834
1236,4.4885426
1237,3.5288556
1238,3.448428
1239,-7.232334
1240,56.901024
1241,286.11584
1242,351.99158
1243,457.10617
1244,516.7471
1245,442.6537
1246,435.26862
1247,397.5845
1248,271.6023
1249,152.35535
1250,65.31444
1251,2.3619719
1252,-5.673176
1253,-4.544725
1254,-0.93390423
1255,-16.620697
1256,-3.405369
1257,-8.176542
1258,3.4713302
1259,-2.3004274
1260,-3.0956066
1261,6.996016
1262,-2.704784
1263,-2.727303
1264,4.3365884
1265,212.48027
1266,322.74414
1267,498.1796
1268,533.0318
1269,488.39603
1270,531.76666
1271,431.08008
1272,318.97626
1273,225.54297
1274,52.58564
1275,-9.472666
1276,8.858419
1277,-12.592226
1278,-17.833899
1279,35.759693
1280,-8.412682
1281,-19.550177
1282,5.138197
1283,2.8376963
1284,9.72223
1285,12.077577
1286,-11.243334
1287,7.740573
1288,86.86008
1289,320.3624
1290,357.8039
1291,430.97025
1292,517.3937
1293,601.03253
1294,566.42505
1295,380.27206
1296,260.74628
1297,165.02075
1298,62.32169
1299,-1.8604808
1300,-5.4326873
1301,-1.9311646
1302,1.5786166
1303,0.118889876
1304,3.6169662
1305,4.1158805
1306,1.0690546
1307,43.12407
1308,15.845386
1309,-4.4387836
1310,27.197123
1311,13.234922
1312,69.097145
1313,282.3691
1314,361.1963
1315,573.8908
1316,525.61707
1317,536.576
1318,494.29294
1319,397.61176
1320,301.40427
1321,226.71365
1322,45.944847
1323,19.120018
1324,5.781649
1325,32.432224
1326,-13.338608
1327,-9.902417
1328,1.4961568
1329,-3.9517846
1330,-5.056438
1331,0.21070851
1332,11.208211
1333,-23.792616
1334,-15.915001
1335,-7.7533674
1336,28.64852
1337,223.39139
1338,524.27
1339,500.13528
1340,459.31873
1341,543.93933
1342,411.9959
1343,421.9864
1344,277.39752
1345,208.9468
1346,75.06766
1347,4.875695
1348,-8.007674
1349,0.28116867
1350,2.4712682
1351,-6.5978527
1352,25.841125
1353,3.9376204
1354,-0.17075607
1355,8.162353
1356,3.8313298
1357,8.087912
1358,4.6669602
1359,17.904072
1360,36.13738
1361,156.35867
1362,363.63947
1363,628.6643
1364,597.6561
1365,462.25375
1366,500.26627
1367,404.9723
1368,299.95822
1369,158.79135
1370,51.765903
1371,2.910674
1372,-6.5554185
1373,-9.027376
1374,-0.8428777
1375,-3.2315283
1376,1.4549445
1377,5.862143
1378,6.000679
1379,5.7443647
1380,2.2632976
1381,-6.558156
1382,2.9718943
1383,5.4798193
1384,44.445663
1385,214.83926
1386,409.8275
1387,448.48184
1388,516.9974
1389,503.23938
1390,515.2966
1391,370.49017
1392,261.71902
1393,197.02881
1394,51.731186
1395,-10.359364
1396,-6.045899
1397,0.4497471
1398,0.5792107
1399,-5.318036
1400,-5.3434825
1401,1.6822523
1402,10.27524
1403,209.56166
1404,62.582397
1405,148.33015
1406,117.67106
1407,242.02376
1408,130.80003
1409,286.38953
1410,493.58786
1411,558.2925
1412,693.23236
1413,677.85144
1414,495.98386
1415,602.93915
1416,396.2172
1417,261.54752
1418,50.03554
1419,-26.171768
1420,-14.419994
1421,-6.291939
1422,-8.019707
1423,-13.848619
1424,18.34902
1425,-3.272991
1426,1.6905767
1427,-29.332968
1428,-3.6165638
1429,-2.6619253
1430,-3.100749
1431,-0.6946462
1432,38.868153
1433,282.9793
1434,422.97275
1435,521.3847
1436,600.26044
1437,562.04504
1438,399.95663
1439,291.86322
1440,267.0086
1441,87.21729
1442,25.102333
1443,-29.561594
1444,-24.094276
1445,-24.540215
1446,-7.6139836
1447,0.11430199
1448,0.39105323
1449,-7.0385475
1450,-4.738512
1451,-6.607372
1452,-56.969494
1453,98.445595
1454,-47.191845
1455,-7.465279
1456,-6.2603617
1457,61.91594
1458,-15.907335
1459,51.799313
1460,474.93555
1461,524.758
1462,700.29553
1463,513.4234
1464,291.71774
1465,227.90082
1466,59.746166
1467,-32.57821
1468,-1.3008621
1469,28.847824
1470,-4.6718874
1471,-20.907162
1472,7.4960885
1473,-36.266468
1474,-2.892095
1475,0.60237986
1476,2.2905002
1477,5.1721854
1478,-3.957242
1479,-0.23742887
1480,48.057842
1481,262.37283
1482,493.60944
1483,582.3386
1484,439.23267
1485,386.4746
1486,411.464
1487,349.4991
1488,229.1925
1489,226.69366
1490,69.032486
1491,1.084542
1492,-3.5193343
1493,2.5816734
1494,0.20871031
1495,-1.5540956
1496,1.7131959
1497,-0.6584208
1498,4.860693
1499,-2.043778
1500,1.0410962
1501,2.970879
1502,0.9530366
1503,9.77564
1504,69.1689
1505,199.13036
1506,382.85056
1507,513.57886
1508,541.51013
1509,519.00934
1510,485.57605
1511,456.7531
1512,305.19598
1513,169.60403
1514,58.94286
1515,11.619794
1516,-7.6130705
1517,-15.0512085
1518,-0.8789482
1519,0.9122695
1520,-4.466595
1521,-0.11105735
1522,2.0072715
1523,20.577835
1524,21.52167
1525,-19.977211
1526,-22.0833
1527,33.03373
1528,35.27885
1529,147.35431
1530,124.87672
1531,146.05673
1532,134.67911
1533,167.55383
1534,184.45602
1535,164.58163
1536,97.463356
1537,16.919851
1538,48.805794
1539,12.407001
1540,-20.050262
1541,-7.3411465
1542,-10.18862
1543,-3.9358163
1544,0.77572966
1545,-4.6516953
1546,-0.33895394
1547,-47.799297
1548,10.096232
1549,0.1283504
1550,-1.2655649
1551,0.48929283
1552,-0.024376027
1553,158.67006
1554,186.0873
1555,123.28012
1556,128.3692
1557,131.81728
1558,170.4028
1559,158.14421
1560,150.76941
1561,120.4347
1562,60.22466
1563,-14.158531
1564,-37.7469
1565,-11.711983
1566,-1.0150293
1567,1.9146309
1568,12.394135
1569,-3.2727604
1570,-13.472807
1571,-8.299899
1572,-16.573008
1573,-10.302968
1574,35.1053
1575,2.843245
1576,144.51553
1577,318.6443
1578,549.6256
1579,686.8193
1580,724.31476
1581,651.8444
1582,699.902
1583,407.76123
1584,297.22183
1585,216.4092
1586,64.52418
1587,-10.6555
1588,-23.150852
1589,1.3040398
1590,19.469421
1591,17.244997
1592,0.86263436
1593,4.400858
1594,0.34700376
1595,0.36725256
1596,-3.4070897
1597,26.604094
1598,-4.761235
1599,13.509326
1600,57.48041
1601,215.17735
1602,376.61014
1603,450.77094
1604,457.1089
1605,474.2219
1606,437.4803
1607,399.7257
1608,286.52814
1609,167.89449
1610,73.32665
1611,-4.9189367
1612,-12.533544
1613,31.884052
1614,-9.481161
1615,-13.226725
1616,3.9947643
1617,-13.962144
1618,10.191898
1619,15.221117
1620,0.8807781
1621,-12.779851
1622,0.6301548
1623,-0.10553115
1624,27.5379
1625,131.56409
1626,208.4467
1627,208.01562
1628,236.52707
1629,285.90094
1630,368.0547
1631,248.5458
1632,192.03061
1633,143.8832
1634,58.53188
1635,3.3151004
1636,1.4657022
1637,14.642666
1638,19.367214
1639,14.631424
1640,-10.637097
1641,-9.060051
1642,-0.4956203
1643,-62.55094
1644,82.03992
1645,74.303696
1646,114.19224
1647,138.2503
1648,193.5391
1649,280.1664
1650,483.76556
1651,671.97235
1652,676.5225
1653,629.0837
1654,582.6789
1655,542.051
1656,236.06425
1657,238.09576
1658,67.47599
1659,-25.424883
1660,-17.115303
1661,-15.22796
1662,-10.34852
1663,-20.282269
1664,0.8606585
1665,-1.4404143
1666,-1.1152953
1667,0.087640926
1668,-0.06668662
1669,1.785916
1670,-38.01223
1671,-2.2374978
1672,16.266703
1673,140.27684
1674,424.6746
1675,588.28143
1676,567.3903
1677,579.1211
1678,562.4559
1679,448.3194
1680,262.70197
1681,187.16663
1682,52.58805
1683,-4.1773205
1684,-10.481541
1685,-0.42663497
1686,1.1315103
1687,-13.514066
1688,0.67914116
1689,-7.929137
1690,1.5680176
