,labombilla
1277,145.23734
1278,117.211426
1279,29.094627
1280,69.751396
1281,29.16232
1282,14.937964
1283,-21.43182
1284,-17.868368
1285,24.007845
1286,27.125713
1287,18.786324
1288,22.001553
1289,20.56758
1290,22.34529
1291,174.20557
1292,472.7103
1293,472.22046
1294,578.0494
1295,867.59326
1296,852.2335
1297,721.3308
1298,548.8846
1299,354.29907
1300,330.54132
1301,142.6391
1302,79.632454
1303,36.992386
1304,33.958694
1305,49.044384
1306,34.855423
1307,38.15229
1308,17.996164
1309,37.769947
1310,17.416653
1311,12.851877
1312,13.917902
1313,12.950378
1314,42.05122
1315,162.56493
1316,280.8652
1317,553.72406
1318,728.50867
1319,835.11725
1320,801.071
1321,624.02277
1322,389.1602
1323,345.05112
1324,252.47087
1325,120.11883
1326,51.55121
1327,39.937923
1328,53.431416
1329,31.85144
1330,36.957664
1331,4.3030376
1332,9.749056
1333,6.1830835
1334,-7.28843
1335,14.545738
1336,-14.648356
1337,-5.973155
1338,-4.375738
1339,122.68521
1340,259.52408
1341,621.06964
1342,795.9957
1343,852.90717
1344,839.9852
1345,736.1476
1346,453.2137
1347,368.02338
1348,261.99304
1349,106.02129
1350,50.1401
1351,44.156425
1352,27.970093
1353,15.365929
1354,20.052862
1355,10.528704
1356,-18.349758
1357,-3.949545
1358,-8.620577
1359,-2.3271444
1360,1.7877318
1361,4.2438145
1362,-8.513003
1363,127.5222
1364,365.65372
1365,609.30444
1366,703.53296
1367,755.97614
1368,791.9826
1369,637.18506
1370,427.63748
1371,323.1107
1372,343.79086
1373,124.07827
1374,47.129734
1375,28.991943
1376,46.01064
1377,35.805378
1378,92.53275
1379,45.977882
1380,127.63069
1381,-0.40618825
1382,26.960394
1383,50.996937
1384,4.3253603
1385,5.331412
1386,192.44174
1387,220.2181
1388,531.96295
1389,592.4126
1390,867.03345
1391,781.5347
1392,794.9549
1393,636.5113
1394,353.81992
1395,223.93347
1396,67.80954
1397,17.896038
1398,87.257515
1399,49.89545
1400,-2.9484358
1401,1.1803592
1402,36.49204
1403,81.770645
1404,4.5943475
1405,46.820843
1406,-34.06536
1407,-33.84817
1408,-70.61132
1409,15.019047
1410,161.42557
1411,485.515
1412,546.25433
1413,725.01794
1414,720.0255
1415,738.9174
1416,506.42212
1417,403.8591
1418,421.21344
1419,211.71994
1420,95.81981
1421,32.236324
1422,26.822557
1423,20.949602
1424,-25.95294
1425,4.9524217
1426,18.151169
1427,21.687387
1428,14.594994
1429,-2.7879224
1430,17.153624
1431,12.832727
1432,13.122975
1433,15.865407
1434,129.95648
1435,327.30966
1436,332.90872
1437,704.34314
1438,774.75433
1439,803.324
1440,711.74664
1441,492.1981
1442,396.60684
1443,289.9502
1444,76.44606
1445,22.343493
1446,23.156677
1447,12.906917
1448,20.403593
