,lossauces
1667,49.50567
1668,26.26944
1669,25.510725
1670,202.21577
1671,412.4751
1672,574.2701
1673,831.91266
1674,854.5274
1675,816.4554
1676,831.16736
1677,591.8044
1678,444.50003
1679,312.37878
1680,85.33349
1681,16.18187
1682,5.9024315
1683,6.7162046
1684,-11.661708
1685,0.7584351
1686,16.066736
1687,25.24725
1688,24.06816
1689,-7.9372296
1690,-28.01558
1691,-41.155056
1692,-85.8444
1693,-82.34318
1694,70.8261
1695,390.88626
1696,581.5031
1697,572.545
1698,583.01227
1699,923.0733
1700,607.8476
1701,464.1038
1702,400.38748
1703,330.76764
1704,61.955387
1705,20.547735
1706,-10.166074
1707,-1.7516451
1708,25.02988
1709,24.05489
1710,-2.2680523
1711,10.251047
1712,22.387367
1713,5.5934563
1714,5.0246887
1715,5.0470886
1716,-24.732128
1717,-5.135198
1718,261.1392
1719,425.93323
1720,603.6183
1721,748.0602
1722,783.4585
1723,786.0687
1724,709.47864
1725,578.3298
1726,438.42035
1727,339.2101
1728,114.84439
1729,69.85299
1730,61.19602
1731,39.34174
1732,16.062475
1733,20.83407
1734,18.348408
1735,9.529649
1736,18.0279
1737,5.55693
1738,43.564095
1739,2.0458064
1740,3.5458255
1741,21.364079
1742,192.3104
1743,604.84393
1744,633.32605
1745,614.3873
1746,771.0787
1747,736.07916
1748,670.4798
1749,426.2369
1750,317.6112
1751,269.98886
1752,81.80767
1753,39.428154
1754,20.289862
1755,11.379545
1756,48.657303
1757,-7.2274685
1758,-3.2869585
1759,12.205813
1760,-18.606485
1761,3.4999037
1762,-3.7648146
1763,9.943284
1764,8.313312
1765,26.67297
1766,106.29265
1767,366.39337
1768,408.8799
1769,362.67303
1770,543.0645
1771,584.7079
1772,616.74695
1773,404.2402
1774,345.3109
1775,232.52689
1776,92.74832
1777,1.225802
1778,-2.0696325
1779,-5.842042
1780,10.284194
1781,-11.249924
1782,-4.212872
1783,0.8369533
1784,-0.7576006
1785,0.24043873
1786,-9.217746
1787,-0.062482916
1788,5.4457965
1789,24.683455
1790,193.70108
1791,449.19815
1792,512.08093
1793,656.6642
1794,516.0301
1795,752.5055
1796,648.84393
1797,405.4408
1798,284.89685
1799,191.47327
1800,114.07758
1801,17.99908
1802,42.685276
1803,3.8888824
1804,55.05858
1805,8.676453
1806,-1.9299088
1807,5.891934
1808,-1.1327642
1809,-5.648143
1810,-7.738027
