,helipuerto
1541,310.51166
1542,98.06709
1543,42.50231
1544,22.533413
1545,-5.426365
1546,32.20766
1547,9.794333
1548,-8.112683
1549,7.899695
1550,5.084974
1551,8.711907
1552,-8.609954
1553,6.8309445
1554,11.105063
1555,15.608102
1556,41.383522
1557,353.92062
1558,607.1211
1559,705.8588
1560,765.9517
1561,727.3345
1562,684.0772
1563,570.1517
1564,419.69604
1565,288.38547
1566,97.46377
1567,38.171486
1568,6.198558
1569,126.92115
1570,24.456203
1571,1.6594555
1572,-0.5745333
1573,4.7364388
1574,0.21033388
1575,0.47482425
1576,4.921576
1577,16.603615
1578,4.0302835
1579,7.7678504
1580,96.078926
1581,432.88336
1582,647.75745
1583,762.6186
1584,649.80707
1585,655.59924
1586,669.66327
1587,517.3955
1588,472.95984
1589,390.38144
1590,133.05666
1591,128.91933
1592,41.26016
1593,92.371315
1594,44.06238
1595,14.724844
1596,1.0927922
1597,3.1388319
1598,2.0465958
1599,-2.5748806
1600,-3.324296
1601,75.49879
1602,5.1474547
1603,12.755253
1604,79.99096
1605,409.6063
1606,611.4549
1607,668.2918
1608,766.5892
1609,769.70886
1610,672.4245
1611,631.32043
1612,467.21176
1613,423.4188
1614,126.3441
1615,98.31749
1616,6.040627
1617,11.109724
1618,-15.5827
1619,7.716772
1620,4.884247
1621,-0.9178209
1622,-4.152812
1623,4.5764823
1624,5.414936
1625,1.5877153
1626,4.1278276
1627,5.873377
1628,53.079712
1629,379.4403
1630,595.11743
1631,668.00006
1632,777.2001
1633,790.4213
1634,628.1094
1635,504.0571
1636,417.04794
1637,315.4102
1638,132.93358
1639,62.219837
1640,32.706562
1641,12.862274
1642,34.267143
1643,32.725807
1644,22.03478
1645,4.6229515
1646,3.7102668
1647,-5.1180825
1648,8.073824
1649,1.2836018
1650,8.0203495
1651,12.024494
1652,147.89355
1653,553.6172
1654,769.7649
1655,801.55273
1656,935.4394
1657,838.68225
1658,786.37384
1659,600.1792
1660,511.5761
1661,360.198
1662,164.7067
1663,63.91814
1664,9.770493
1665,19.269466
1666,18.814049
1667,8.504275
1668,-0.15065035
1669,2.5978727
1670,-1.8353847
1671,-3.5900087
1672,-0.44823542
1673,-0.06656208
1674,-1.2527639
1675,17.017422
1676,152.55574
1677,411.21555
1678,715.60815
1679,831.2869
1680,844.06976
1681,927.6003
1682,849.1646
1683,649.2742
1684,555.9722
1685,363.90155
1686,143.04398
1687,91.27471
1688,104.12464
1689,29.11174
1690,26.990616
1691,19.873943
1692,17.28242
1693,-10.713783
1694,7.280979
1695,29.09267
1696,14.620456
1697,-18.045311
1698,32.085224
1699,46.09683
1700,201.15752
1701,454.69495
1702,691.4283
1703,792.02924
1704,728.63324
1705,831.7246
1706,815.3384
1707,527.53925
1708,433.782
1709,287.70465
1710,132.00311
1711,45.51975
1712,52.07205
1713,61.34917
1714,40.81382
1715,29.56568
1716,16.682272
1717,-0.65075034
1718,6.6776166
1719,-8.340242
1720,0.52752244
1721,-0.7955442
1722,-2.2891345
1723,18.221153
1724,160.85544
1725,324.86264
1726,657.7215
1727,803.50507
1728,877.21027
1729,863.77673
1730,837.04083
1731,667.74445
1732,614.2354
1733,338.73093
1734,130.13104
1735,5.7881775
1736,31.372038
1737,41.240032
1738,69.85176
1739,21.996271
1740,32.26426
1741,40.075985
1742,33.86324
1743,62.699615
1744,75.49028
1745,27.80802
1746,-2.023225
1747,18.9192
1748,163.75502
1749,706.43585
1750,796.5741
1751,743.36255
1752,853.0706
1753,896.37885
1754,825.9066
1755,659.2371
1756,549.68005
1757,430.26215
1758,155.0783
1759,32.976543
1760,18.415533
1761,21.909937
1762,28.253199
1763,1.9495543
1764,31.301844
1765,40.67205
1766,18.124668
1767,16.49657
1768,39.013775
1769,34.57996
1770,-8.594797
1771,55.55386
1772,334.3885
1773,588.1331
1774,789.13983
1775,718.33655
1776,912.47015
1777,788.42554
1778,878.55084
1779,624.67
1780,548.257
1781,454.16782
1782,140.50418
1783,73.43499
1784,51.092697
1785,45.46199
1786,10.487436
1787,9.337299
1788,32.690384
