,bodeganorte
1003,389.78137
1004,584.1738
1005,442.71753
1006,448.66693
1007,265.4761
1008,194.29605
1009,56.08396
1010,13.675727
1011,20.761023
1012,-1.9258933
1013,13.1360235
1014,13.327605
1015,-2.4579246
1016,-0.4809857
1017,0.093593724
1018,-1.7621272
1019,0.7533583
1020,0.35389885
1021,4.1873584
1022,28.393215
1023,146.4643
1024,157.98526
1025,279.12253
1026,548.5662
1027,400.61642
1028,302.24356
1029,243.25873
1030,253.38715
1031,172.49693
1032,43.365837
1033,-6.012075
1034,-14.762801
1035,-1.4033546
1036,-0.974635
1037,1.396473
1038,0.8872693
1039,-1.7966992
1040,3.1785967
1041,6.9856586
1042,2.317975
1043,1.3292314
1044,40.154797
1045,193.39627
1046,265.4132
1047,422.215
1048,297.2964
1049,197.89787
1050,298.73987
1051,281.98856
1052,203.55287
1053,210.89738
1054,63.203815
1055,9.692862
1056,-2.1381779
1057,-4.479913
1058,-4.0410175
1059,-4.116473
1060,9.441813
1061,1.6016062
1062,-0.80502886
1063,-2.2035942
1064,0.5244865
1065,-0.48496807
1066,0.8909194
1067,55.602795
1068,156.45345
1069,346.17535
1070,612.7367
1071,575.1767
1072,700.991
1073,376.50833
1074,244.8667
1075,218.9585
1076,155.44788
1077,56.236317
1078,1.2428286
1079,15.730379
1080,8.471001
1081,20.275135
1082,-1.3430685
1083,-3.2141895
1084,3.1033812
1085,1.0130411
1086,-2.0437179
1087,-1.4545853
1088,3.6211467
1089,5.9490967
1090,29.10719
1091,199.60442
1092,215.51834
1093,499.9296
1094,360.23868
1095,380.37457
1096,391.70462
1097,311.8819
1098,328.45682
1099,357.89984
1100,91.47898
1101,5.718153
1102,-0.806868
1103,1.8595479
1104,-1.0096428
1105,11.01931
1106,-4.5250964
1107,-13.604523
1108,-1.9631308
1109,3.6649146
1110,2.7103896
1111,2.153426
1112,3.8425493
1113,27.084852
1114,191.40092
1115,297.44077
1116,372.44144
1117,302.5241
1118,361.68967
1119,405.73807
1120,289.34256
1121,267.38794
1122,228.01183
1123,145.2246
1124,9.857015
1125,-2.2804444
1126,-1.8103396
1127,-5.1476336
1128,-1.6347698
1129,8.167528
1130,4.0138874
1131,1.3273201
1132,1.5215364
1133,8.479468
1134,2.288305
1135,37.26556
1136,248.09402
1137,477.8956
1138,514.4423
1139,765.4337
1140,635.9898
1141,666.9712
1142,381.8534
1143,327.23053
1144,271.5778
1145,67.8099
1146,6.6430674
1147,11.851627
1148,2.2303603
1149,9.314291
1150,2.161333
1151,3.899981
1152,5.739527
1153,2.2853634
1154,-0.051261716
1155,3.870945
1156,-0.7246886
1157,-1.8865703
1158,41.160995
1159,307.27487
1160,253.63507
1161,500.3573
1162,556.7618
1163,371.70728
1164,265.6959
1165,543.3795
1166,465.8032
1167,281.13556
1168,97.73208
1169,-9.750504
1170,8.165355
1171,10.536078
1172,14.53969
1173,11.751264
1174,-0.08450275
1175,-2.2379603
1176,-9.895234
1177,2.629395
1178,2.4553747
1179,-2.8295908
1180,-2.4696624
