,balsa-laguna
1367,4.8407354
1368,6.579634
1369,-5.5792027
1370,-13.796613
1371,-20.519474
1372,-4.5327063
1373,-21.22175
1374,5.1312885
1375,9.082924
1376,3.7247317
1377,45.865875
1378,100.68724
1379,211.03868
1380,178.51927
1381,220.60483
1382,252.0694
1383,299.95844
1384,237.2653
1385,126.585014
1386,106.51583
1387,52.80528
1388,1.2014998
1389,6.503253
1390,6.3155556
1391,3.1907868
1392,4.283487
1393,-0.47350696
1394,-9.316566
1395,-1.8543088
1396,-17.053865
1397,-3.1201112
1398,-9.185749
1399,10.838171
1400,2.7756727
1401,62.41449
1402,137.83127
1403,194.05478
1404,187.78984
1405,107.98699
1406,86.98765
1407,103.867
1408,103.730095
1409,164.22798
1410,165.19563
1411,40.044
1412,-10.967522
1413,-12.12875
1414,-8.542341
1415,26.72703
1416,-15.935085
1417,-23.351734
1418,0.808298
1419,6.372943
1420,23.572104
1421,-13.532319
1422,18.552605
1423,28.095999
1424,-12.643369
1425,76.426865
1426,231.55989
1427,199.45563
1428,132.32883
1429,218.44638
1430,173.05048
1431,322.98428
1432,207.42273
1433,197.46364
1434,161.77394
1435,64.29733
1436,13.568998
1437,-2.0068767
1438,12.005251
1439,9.964236
1440,0.40485284
1441,-18.567612
1442,2.5630605
1443,-0.52270305
1444,-23.282663
1445,-0.11916464
1446,-9.508385
1447,1.1690717
1448,-12.825491
1449,25.813366
1450,355.47568
1451,213.47739
1452,323.8414
1453,314.14566
1454,517.0857
1455,528.011
1456,236.42604
1457,209.38622
1458,109.470276
1459,45.22228
1460,-1.2068241
1461,-0.45097634
1462,2.698169
1463,4.5262103
1464,-3.9091396
1465,-24.469378
1466,-15.013059
1467,9.298233
1468,-1.8512459
1469,-6.573702
1470,-12.56543
1471,-20.298037
1472,-2.185578
1473,73.20233
1474,251.52776
1475,206.42001
1476,215.26974
1477,512.97516
1478,229.42914
1479,298.83078
1480,200.96413
1481,201.75935
1482,119.21502
1483,4.8608193
1484,-11.872648
1485,-61.49267
1486,-17.03786
1487,3.8634315
1488,2.0490327
1489,-7.306127
1490,-8.381933
1491,-6.25895
1492,-0.29011637
1493,-19.356936
1494,-3.571366
1495,-0.24723914
1496,2.9933426
1497,60.944588
1498,141.20688
1499,119.40106
1500,196.291
1501,179.31505
1502,107.8373
1503,118.08574
1504,87.75547
1505,38.242855
1506,2.8038113
1507,-6.011681
1508,-0.7181466
1509,-19.843676
1510,-5.7649837
1511,-1.8808564
1512,3.6416237
1513,0.45621425
1514,-3.212496
1515,-2.4448516
1516,-2.6441891
1517,-0.10188513
1518,-3.4669988
1519,28.737244
1520,193.17606
1521,276.33304
1522,353.38864
1523,272.7531
1524,114.889824
1525,112.24081
1526,170.46239
1527,164.60464
1528,118.54273
1529,37.61514
1530,3.114279
1531,3.087003
1532,11.352935
1533,9.207045
1534,-8.028754
1535,12.266139
1536,0.364373
1537,-22.845432
1538,-12.928497
1539,-21.139893
1540,15.823829
1541,4.439479
1542,10.202872
1543,13.158725
1544,40.000637
1545,120.79888
1546,54.17839
1547,-6.9778113
1548,128.64105
1549,279.9309
1550,244.37099
1551,167.8714
1552,96.20311
1553,24.718868
1554,-1.7515233
1555,13.844409
1556,5.459437
1557,-1.6410468
1558,-1.1122353
1559,0.22460455
1560,-0.5949412
1561,-3.2195182
1562,-9.242334
1563,-8.184386
1564,-7.503627
1565,0.39812475
1566,-9.449749
1567,13.784095
1568,186.29622
1569,109.16261
1570,272.54562
1571,170.89928
1572,179.0094
1573,304.41537
1574,100.908295
1575,155.83925
1576,89.35175
1577,32.037716
1578,-15.496825
1579,3.9258008
1580,-10.648599
1581,-6.2677765
1582,-5.0214343
1583,3.0633073
1584,-13.749316
1585,-3.9606383
1586,44.634296
1587,-2.993012
1588,-6.353447
1589,8.539762
1590,2.924827
1591,36.70799
1592,184.3632
1593,211.71825
1594,302.55927
1595,384.21002
1596,352.3601
1597,412.7965
1598,266.24234
1599,184.52658
1600,94.44218
1601,30.334442
1602,-3.4319806
1603,-1.1762305
1604,-3.261716
1605,4.1633162
1606,14.100458
1607,32.76266
1608,-11.286913
1609,19.163485
1610,51.07284
1611,21.428392
1612,-13.676465
1613,4.396268
1614,48.561993
1615,88.60553
1616,174.74681
1617,292.77377
1618,309.91025
1619,293.68268
1620,312.8918
1621,232.0083
1622,118.92471
1623,149.63268
1624,74.56265
1625,20.721882
1626,-23.11243
1627,-22.254023
1628,-19.959982
1629,-29.893116
1630,-22.701601
1631,-5.336767
1632,-15.337115
1633,-7.6254272
1634,-6.0265503
1635,-4.067944
1636,0.1382584
1637,4.059734
1638,19.879784
1639,97.82473
1640,138.53796
1641,122.32147
1642,145.15442
1643,38.240196
1644,26.889776
1645,41.127247
1646,89.64855
1647,135.63309
1648,113.539055
1649,39.36985
1650,-2.2508326
1651,3.5052888
1652,1.8726431
1653,6.8865933
1654,7.142079
1655,5.1644406
1656,5.402675
1657,2.6988192
1658,8.951161
1659,-0.68154377
1660,-3.2319186
1661,2.452344
1662,18.818151
1663,149.565
1664,192.7649
1665,168.1159
1666,109.63597
1667,131.25473
1668,119.5972
1669,54.615578
1670,110.3378
1671,173.47878
1672,115.73757
1673,52.29773
1674,6.206337
1675,2.0707629
1676,4.7758937
1677,4.0613856
1678,1.321322
1679,-0.7026411
1680,1.2498254
1681,2.0393317
1682,2.0471766
1683,5.554392
1684,1.1758232
1685,-0.8179165
1686,26.41134
1687,152.79857
1688,259.13382
1689,462.29742
1690,519.3044
1691,358.2963
1692,496.41138
1693,558.6182
1694,382.59045
1695,214.47978
1696,89.8664
1697,48.83903
1698,6.514412
1699,0.49362054
1700,-18.675625
1701,-3.5583048
1702,0.7045218
1703,-0.48669916
1704,-28.461067
1705,-8.633969
1706,-1.9850425
1707,0.32712886
1708,2.195059
1709,-1.428085
1710,-0.2606964
1711,125.229546
1712,148.39198
1713,188.4795
1714,106.91706
1715,180.12633
1716,543.3906
1717,481.54105
1718,301.7321
1719,242.4194
1720,123.7801
1721,59.959312
1722,20.833328
1723,4.303459
1724,40.5597
1725,7.122604
1726,2.405672
1727,26.961723
1728,21.658672
1729,-11.618539
1730,55.823193
