,mont-picocruz
1536,797.49945
1537,736.21466
1538,699.6013
1539,645.4965
1540,463.85373
1541,357.235
1542,60.92491
1543,-15.952132
1544,9.615018
1545,-26.175072
1546,-25.794765
1547,5.021651
1548,-41.145737
1549,-16.642427
1550,-2.0683253
1551,-9.674817
1552,-12.875168
1553,-2.4422348
1554,-10.259598
1555,-6.9705663
1556,225.88045
1557,481.27875
1558,566.4739
1559,754.62225
1560,851.6797
1561,869.0128
1562,793.19507
1563,750.671
1564,544.9784
1565,392.6839
1566,86.49047
1567,29.468662
1568,8.2933035
1569,0.35798395
1570,-7.2620597
1571,22.285196
1572,25.68173
1573,-8.586702
1574,8.552431
1575,-0.30479905
1576,8.141078
1577,-0.62450665
1578,0.68298537
1579,-18.337086
1580,225.49574
1581,499.1487
1582,661.56635
1583,784.67786
1584,893.5475
1585,899.51544
1586,814.8499
1587,740.4088
1588,527.6393
1589,390.3959
1590,74.186646
1591,18.8186
1592,-3.7814977
1593,-5.160383
1594,2.1823587
1595,1.7216381
1596,-3.1201396
1597,-6.1190248
1598,4.4374533
1599,-3.4089239
1600,0.9416081
1601,10.132277
1602,-17.837704
1603,-9.779635
1604,227.16995
1605,478.48444
1606,664.2185
1607,794.427
1608,839.57
1609,866.5155
1610,719.2503
1611,684.17206
1612,524.27454
1613,362.31653
1614,64.23176
1615,9.967323
1616,-4.497455
1617,6.1804733
1618,-26.73255
1619,-91.77915
1620,-10.737061
1621,-38.70043
1622,5.6157475
1623,21.299809
1624,50.020267
1625,21.171474
1626,0.12004101
1627,28.539936
1628,210.0017
1629,466.01984
1630,698.1282
1631,692.72064
1632,835.2781
1633,846.956
1634,808.2598
1635,726.77484
1636,574.29706
1637,389.31805
1638,103.46223
1639,61.794373
1640,61.982708
1641,54.985954
1642,1.5146629
1643,-20.634167
1644,-138.41573
1645,-132.10413
1646,-131.78033
1647,-132.1917
1648,-112.13579
1649,-107.184845
1650,-108.65363
1651,-89.79185
1652,82.58073
1653,423.3446
1654,624.1739
1655,709.1399
1656,850.7093
1657,805.47144
1658,720.4308
1659,701.7723
1660,541.6252
1661,354.51474
1662,65.58046
1663,17.4777
1664,-3.2429066
1665,-10.727508
1666,5.163829
1667,-1.6534249
1668,2.204964
1669,-7.784451
1670,-4.573561
1671,-6.496529
1672,-9.34714
1673,-1.6451765
1674,3.6193452
1675,36.530346
1676,217.58017
