,mont-tricias
1331,5.918713
1332,-2.0726917
1333,8.222645
1334,3.8018901
1335,-2.4862885
1336,-8.074065
1337,-13.863292
1338,-12.981236
1339,100.89155
1340,286.79166
1341,536.7776
1342,587.9007
1343,666.0879
1344,652.7308
1345,496.11642
1346,457.97656
1347,381.93475
1348,241.1635
1349,60.322254
1350,31.804825
1351,-2.2630713
1352,9.88545
1353,17.820787
1354,4.6873374
1355,-2.0207453
1356,-16.151028
1357,-12.898262
1358,-13.620945
1359,-4.189633
1360,5.534876
1361,-10.042191
1362,-1.7793714
1363,73.553566
1364,268.86423
1365,387.41467
1366,526.1127
1367,757.2691
1368,682.3623
1369,633.24286
1370,457.70895
1371,371.59857
1372,200.37354
1373,65.57079
1374,9.661836
1375,0.06400479
1376,2.379607
1377,3.6420064
1378,8.579345
1379,-6.0426383
1380,-4.5290294
1381,1.4471247
1382,-0.23718253
1383,0.50619763
1384,1.6336015
1385,-16.880732
1386,21.416237
1387,31.478296
1388,165.41942
1389,413.50757
1390,499.2648
1391,525.115
1392,531.67535
1393,442.24948
1394,441.99353
1395,261.8823
1396,165.42542
1397,47.520348
1398,22.212696
1399,-26.718552
1400,-31.2135
1401,0.8529358
1402,18.718334
1403,62.889416
1404,24.903088
1405,59.52668
1406,62.673527
1407,106.47656
1408,34.950726
1409,89.66478
1410,28.798956
1411,57.444942
1412,139.7961
1413,302.7844
1414,441.91144
1415,420.3064
1416,480.68353
1417,411.7996
1418,405.03925
1419,223.87794
1420,143.04169
1421,77.570755
1422,-1.9759979
1423,-9.412798
1424,-0.6247084
1425,4.590056
1426,11.98443
1427,-0.75050634
1428,-5.1724677
1429,44.944042
1430,-18.182344
1431,-64.031075
1432,-70.39217
1433,196.86385
1434,155.14738
1435,202.66296
1436,319.4093
1437,328.3022
1438,387.30334
1439,389.2917
1440,318.51315
1441,312.78592
1442,290.70877
1443,157.72395
1444,161.12692
1445,96.00876
1446,18.694586
1447,7.188265
1448,-13.713821
1449,-4.147387
1450,-33.278103
1451,-6.56419
1452,-9.007767
1453,-37.37046
1454,4.1847925
1455,-30.318733
1456,-25.156755
1457,-33.976585
1458,-69.49135
1459,-41.458366
1460,269.00488
1461,359.26486
1462,379.80557
1463,358.19608
1464,376.47107
1465,319.4651
1466,208.18993
1467,107.6252
1468,118.60484
1469,26.074478
1470,-17.22649
1471,-29.232298
1472,-32.89002
1473,-15.60156
1474,-28.408098
1475,-0.38536564
1476,10.547818
1477,-2.5266662
1478,-2.037881
1479,5.2462983
1480,-2.5901334
1481,3.7441108
1482,-4.3008757
1483,57.630844
1484,193.14287
1485,209.05135
1486,249.48164
1487,330.52707
1488,397.24622
1489,382.14777
1490,265.83255
1491,227.85492
1492,156.23195
1493,65.70032
1494,1.8286332
1495,2.639984
1496,9.007948
1497,1.2721494
1498,-7.91994
1499,-6.3812613
1500,-3.8586628
1501,3.9627254
1502,-9.588994
1503,4.29357
1504,-0.043488376
1505,4.350885
1506,12.36887
1507,41.481564
1508,219.76105
1509,385.49945
1510,382.71667
1511,501.8681
1512,621.6668
1513,376.35355
1514,269.0572
1515,215.96178
1516,164.73271
1517,64.57911
1518,14.939991
1519,5.4187145
1520,-9.02612
1521,-3.9248595
1522,17.273663
1523,-18.388233
1524,32.207
1525,2.9194653
1526,-6.045792
1527,-2.4566236
1528,-8.261704
1529,-57.40483
1530,-42.032356
1531,54.462822
1532,154.42355
1533,252.31581
1534,304.885
1535,324.43713
1536,247.85384
1537,484.53717
1538,468.7979
1539,239.9943
1540,253.79753
1541,106.91964
1542,88.82932
1543,57.61428
1544,60.25861
1545,71.381454
1546,96.07193
1547,-0.27190128
1548,-4.3062453
1549,18.251236
1550,2.4830663
1551,0.967058
1552,4.5701313
1553,5.05935
1554,30.31738
1555,22.738369
1556,180.70653
1557,197.05505
1558,217.53598
1559,147.37497
1560,134.36014
1561,110.997986
1562,144.59634
1563,187.2398
1564,114.162834
1565,39.401684
1566,5.9771767
1567,1.4770598
1568,-2.4141817
1569,10.912393
1570,10.490641
1571,-6.769608
1572,9.657502
1573,4.116105
1574,-3.8753679
1575,4.1058555
1576,-6.4936
1577,8.88543
1578,52.81208
1579,78.42853
1580,317.75497
1581,443.87344
1582,526.8969
1583,694.04724
1584,706.5112
1585,708.67413
1586,476.73026
1587,409.59775
1588,230.77266
1589,93.416306
1590,40.84774
1591,23.86503
1592,-85.14216
1593,14.694764
1594,13.184359
1595,26.764772
1596,-17.701546
1597,16.786217
1598,16.033224
1599,1.1080176
1600,-2.9633658
1601,16.76972
1602,28.822063
1603,104.78112
1604,263.61652
1605,479.76642
1606,563.8895
1607,613.11707
1608,711.6423
1609,640.3697
1610,432.87704
1611,369.01968
1612,260.0321
1613,111.85604
1614,4.9415555
1615,6.08363
1616,1.3339143
1617,-6.878125
1618,-0.87353456
1619,3.203754
1620,4.016731
1621,-5.293061
1622,11.988519
1623,18.26748
1624,6.656542
1625,-9.333254
1626,-4.233708
1627,38.211605
1628,152.00058
1629,334.3328
1630,284.38916
1631,247.436
1632,159.04802
1633,189.78575
1634,147.81897
1635,160.34494
1636,116.26333
1637,53.652023
1638,10.901136
1639,1.2219493
1640,-1.9722583
1641,8.155269
1642,-7.6321588
1643,-2.108708
1644,-1.7252837
1645,3.3503616
1646,-9.419697
1647,28.457706
1648,56.187366
1649,3.4959471
1650,4.8809996
1651,64.746994
1652,136.29787
1653,387.05176
1654,507.01633
1655,515.1667
1656,532.6974
1657,498.69366
1658,256.16348
1659,200.39267
1660,183.00333
1661,47.51762
1662,17.830498
1663,-7.557691
1664,2.7649248
1665,5.862558
1666,-12.167298
1667,-14.244958
1668,-9.565288
1669,-8.723941
1670,-3.8737102
1671,-7.0001416
1672,-0.8414045
1673,-8.5063505
1674,33.883724
1675,52.08627
1676,156.8635
1677,383.41507
1678,466.545
1679,464.5736
1680,480.63464
1681,357.9219
1682,288.37686
1683,187.39056
1684,91.91176
1685,38.39891
1686,-2.8964736
1687,-0.97579277
1688,-6.1142793
1689,-8.444066
1690,-8.163585
1691,-3.4878716
1692,1.1114628
1693,-13.874047
1694,-0.93978465
1695,-2.1912336
1696,-0.76792014
1697,3.9251754
1698,17.85221
1699,55.90824
1700,207.35382
1701,184.05316
1702,187.2262
1703,220.67598
1704,278.0159
1705,245.73291
1706,161.83856
1707,146.21681
1708,101.449875
1709,41.436565
1710,45.26619
1711,35.38597
1712,23.662186
1713,55.352364
1714,2.894829
1715,2.051698
1716,1.1807325
1717,31.876976
1718,30.052473
1719,-2.8335433
1720,-6.7710724
1721,-1.4356496
1722,4.5293517
1723,77.1134
1724,193.54315
1725,329.1784
1726,424.96234
1727,467.99805
1728,238.29424
1729,316.5438
1730,340.18192
1731,246.35452
1732,134.67482
1733,63.367645
1734,6.1631994
1735,9.285014
1736,-20.417458
1737,37.56626
1738,-2.5939698
1739,8.82021
1740,5.0283303
1741,0.73844
1742,-5.510648
1743,11.677009
1744,5.7085233
1745,-2.250911
1746,-0.60607755
1747,46.766254
1748,191.51018
1749,161.44666
1750,197.17503
1751,307.0872
1752,339.3482
1753,318.5578
1754,223.31046
1755,203.67726
