,centrovis-aemet
986,411.66953
987,212.90588
988,118.22937
989,19.321587
990,-3.5113149
991,-6.126102
992,-0.78869456
993,4.9383893
994,-6.8016396
995,-5.021712
996,-11.235728
997,20.808983
998,1.6007975
999,-1.4118437
1000,-3.9232163
1001,2.1371222
1002,21.934082
1003,62.233215
1004,147.03989
1005,384.9595
1006,559.48676
1007,650.55255
1008,643.5189
1009,494.73694
1010,308.26587
1011,170.21425
1012,165.25253
1013,30.808855
1014,2.4241555
1015,9.44456
1016,3.9833589
1017,4.29671
1018,0.40360257
1019,1.5760278
1020,3.1325417
1021,5.9656615
1022,43.802563
1023,4.1666117
1024,40.77381
1025,43.764637
1026,47.008163
1027,64.01704
1028,158.37161
1029,476.04648
1030,475.2884
1031,523.99097
1032,553.89764
1033,423.65048
1034,334.73846
1035,220.35225
1036,156.26004
1037,3.2865539
1038,13.402702
1039,4.9984403
1040,6.593877
1041,5.9720445
1042,6.8994327
1043,3.4367423
1044,3.820775
1045,0.72371036
1046,6.39602
1047,1.9589858
1048,7.807515
1049,10.158029
1050,6.2936616
1051,36.28855
1052,130.01181
1053,60.1257
1054,302.42307
1055,160.09975
1056,189.3945
1057,405.70386
1058,358.8878
1059,300.6011
1060,285.70502
1061,36.457268
1062,23.743734
1063,-0.35557812
1064,14.670888
1065,17.25784
1066,8.0924015
1067,1.2226363
1068,5.323381
1069,-0.28888324
1070,0.874891
1071,0.68741435
1072,1.5628488
1073,13.080627
1074,0.8214107
1075,40.430187
1076,133.80537
1077,239.08986
1078,477.81705
1079,605.61554
1080,558.3572
1081,395.4427
1082,241.07571
1083,168.5559
1084,186.136
1085,47.498474
1086,45.285057
1087,44.671864
1088,45.5164
1089,44.22181
1090,44.22181
1091,3.6399198
1092,0.36303842
1093,-0.46207818
1094,5.0054255
1095,-0.69243205
1096,-1.1206603
1097,8.355147
1098,1.4999826
1099,37.142574
1100,169.24962
1101,275.69968
1102,611.6855
1103,540.84534
1104,592.2035
1105,452.52722
1106,343.43817
1107,219.95299
1108,215.89471
1109,37.63064
1110,10.799542
1111,8.785965
1112,14.075899
1113,47.221737
1114,12.339589
1115,1.2774227
1116,5.947995
1117,5.323381
1118,5.4167213
1119,1.9589858
1120,2.387967
1121,10.403784
1122,2.587297
1123,43.938828
1124,138.58353
1125,318.59824
1126,482.62698
1127,482.01953
1128,328.9311
1129,280.6109
1130,397.2463
1131,222.24379
1132,132.23143
1133,13.835252
1134,2.4737785
1135,2.4901836
1136,12.164874
1137,3.3124406
1138,5.17784
1139,5.5639625
1140,5.323381
1141,4.320405
1142,4.413745
1143,5.4167213
1144,4.137626
1145,5.0777225
1146,0.66761404
1147,46.514225
1148,227.13696
1149,318.57196
1150,565.1815
1151,613.15826
1152,681.00775
1153,302.89154
1154,263.45926
1155,73.24963
1156,137.86049
1157,-0.045982502
1158,2.9546669
1159,7.9001493
1160,1.925709
1161,8.430786
1162,4.467815
1163,1.2822132
1164,-2.3636436
1165,-6.8279343
1166,-5.909293
1167,-3.9102848
1168,6.046501
1169,1.819665
1170,3.1610491
1171,18.132504
1172,187.18698
1173,574.9792
1174,621.54047
1175,698.19885
1176,725.40985
1177,658.6054
1178,604.20306
1179,385.91095
1180,259.36386
1181,-0.59574455
1182,15.611782
1183,7.897062
1184,4.3305836
1185,11.137623
1186,11.472239
1187,4.25615
1188,1.1547645
1189,4.015568
1190,0.6511723
1191,0.30353665
1192,4.7968655
1193,7.687155
1194,-0.017520096
1195,32.284664
1196,372.44366
1197,563.9568
1198,694.40533
1199,714.2829
1200,479.43622
1201,504.07645
1202,274.5315
1203,259.665
1204,98.68576
1205,57.720356
1206,6.283569
1207,-1.9928187
1208,0.6806633
1209,1.7139761
1210,-1.6251639
1211,1.3479216
1212,-1.5748107
1213,0.5578319
1214,-2.133392
1215,-0.27225047
1216,0.72157127
1217,0.492802
1218,3.2974744
1219,65.42834
1220,186.2449
1221,466.9099
1222,803.63995
1223,888.2756
1224,828.23956
1225,621.1171
1226,418.20987
1227,271.0778
1228,332.91342
1229,105.67671
1230,27.870382
1231,14.589287
1232,13.988443
1233,12.718855
