,salinas
1416,381.30862
1417,261.5858
1418,127.51393
1419,64.822174
1420,44.58117
1421,37.07443
1422,28.453297
1423,53.428154
1424,20.922064
1425,59.53195
1426,80.75517
1427,73.403786
1428,49.962963
1429,115.83159
1430,122.69082
1431,109.588806
1432,218.99062
1433,397.3605
1434,628.45624
1435,849.89465
1436,935.6031
1437,937.67664
1438,890.4537
1439,774.3965
1440,515.94354
1441,282.4116
1442,90.83457
1443,74.286674
1444,14.956516
1445,84.37895
1446,83.526505
1447,48.12399
1448,43.522224
1449,98.85413
1450,-6.6005087
1451,6.660658
1452,5.55989
1453,106.88422
1454,7.7276926
1455,189.17462
1456,332.75516
1457,427.69043
1458,665.3232
1459,775.9412
1460,673.1609
1461,593.85596
1462,506.7319
1463,390.44696
1464,193.45741
1465,85.666916
1466,64.24859
1467,57.650333
1468,16.948084
1469,2.5651002
1470,-19.522865
1471,-2.7184184
1472,-5.6833377
1473,1.9142089
1474,-3.3857422
1475,-1.3275738
1476,24.663048
1477,23.31305
1478,22.277195
1479,196.68456
1480,338.614
1481,456.45093
1482,646.0506
1483,736.2816
1484,819.9711
1485,718.92126
1486,469.16223
1487,352.69876
1488,264.9748
1489,8.376532
1490,55.032974
1491,33.01182
1492,32.25431
1493,43.782173
1494,47.379543
1495,49.355843
1496,49.739876
1497,-1.4568369
1498,-42.156284
1499,-41.929504
1500,15.852344
1501,27.49584
1502,72.93121
1503,155.3068
1504,441.06778
1505,666.4761
1506,784.1745
1507,873.2818
1508,870.429
1509,841.5576
1510,607.0348
1511,493.54752
1512,365.76505
1513,160.95428
1514,99.98874
1515,65.18911
1516,97.753365
1517,70.25796
1518,48.376865
1519,0.5840789
1520,-0.6257413
1521,4.33161
1522,23.043356
1523,20.591337
1524,17.117235
1525,29.94761
1526,102.38203
1527,346.6457
1528,431.96136
1529,574.3739
1530,880.9553
1531,933.61115
1532,806.65717
1533,805.31775
1534,399.00668
1535,423.86514
1536,309.1787
1537,189.44405
